feature,rho,p_raw,rank,p_bh,bh_significant,loo_frac,loo_robust,passes,description
lex::<LM/,0.4161950573851823,0.054025630001126375,134,0.300366375752531,False,0.18181818181818182,False,True,Lexeme <LM/ (noun) rate per 1k words
lex::>NC/,0.4161950573851823,0.054025630001126375,135,0.29814143963584555,False,0.18181818181818182,False,True,Lexeme >NC/ (noun) rate per 1k words
lex::DRK[,-0.4153466452833462,0.05456740859657349,136,0.29891705444446504,False,0.22727272727272727,False,True,Lexeme DRK[ (verb) rate per 1k words
lex::RDP[,-0.4148677803986437,0.05487504117663014,137,0.29840807063203983,False,0.2727272727272727,False,True,Lexeme RDP[ (verb) rate per 1k words
lex::SPR/,0.40829544737332635,0.059233335699947626,138,0.3197741673656593,False,0.18181818181818182,False,True,Lexeme SPR/ (noun) rate per 1k words
lex::JDH[,0.40788060374161667,0.05951705938312599,139,0.31899431108222204,False,0.18181818181818182,False,True,Lexeme JDH[ (verb) rate per 1k words
lex::>JPH/,-0.4071110176968211,0.06004615376399986,140,0.3195313182441421,False,0.36363636363636365,False,True,Lexeme >JPH/ (noun) rate per 1k words
lex::BD/,0.4070172983823666,0.0601108311083788,141,0.3176068735868242,False,0.22727272727272727,False,True,Lexeme BD/ (noun) rate per 1k words
lex::JHWH/,-0.40276999086555093,0.06309827451039073,142,0.3310437641566274,False,0.3181818181818182,False,True,Lexeme JHWH/ (proper-noun) rate per 1k words
lex::GPN/,-0.4026109164509901,0.06321232066901253,143,0.32932292935954083,False,0.2727272727272727,False,True,Lexeme GPN/ (noun) rate per 1k words
lex::C>RJT/,-0.4011740151516986,0.06424961741292926,144,0.3324025345321687,False,0.22727272727272727,False,True,Lexeme C>RJT/ (noun) rate per 1k words
lex::SRJS/,0.4001847432936616,0.06497126750598371,145,0.3338178916686749,False,0.09090909090909091,False,True,Lexeme SRJS/ (noun) rate per 1k words
lex::MJM/,-0.4001183376174787,0.06501992874404941,146,0.33177977338573156,False,0.09090909090909091,False,True,Lexeme MJM/ (noun) rate per 1k words
lex::QWH[,-0.3997998843668036,0.06525367258408399,147,0.330707388266276,False,0.22727272727272727,False,True,Lexeme QWH[ (verb) rate per 1k words
lex::KJ,-0.3995480384412702,0.0654389788868038,148,0.32940567074776245,False,0.18181818181818182,False,True,Lexeme KJ (conj) rate per 1k words
lex::JFR>L/,-0.39898066588741005,0.06585791304914619,149,0.32928956524573094,False,0.13636363636363635,False,True,Lexeme JFR>L/ (proper-noun) rate per 1k words
lex::ZR<[,-0.3988067188152327,0.06598675869739407,150,0.32773423486372383,False,0.18181818181818182,False,True,Lexeme ZR<[ (verb) rate per 1k words
lex::K,-0.3967223804607803,0.06754560490642826,151,0.33325480566416593,False,0.22727272727272727,False,True,Lexeme K (prep) rate per 1k words
lex::BHL[,0.3962705870580611,0.06788714802292788,152,0.3327363505071136,False,0.09090909090909091,False,True,Lexeme BHL[ (verb) rate per 1k words
lex::FB<[,-0.39625431246930165,0.06789947554751707,153,0.33062162930000144,False,0.18181818181818182,False,True,Lexeme FB<[ (verb) rate per 1k words
lex::YB>/,-0.39568175873181954,0.06833424967961006,154,0.3305780260474643,False,0.22727272727272727,False,True,Lexeme YB>/ (noun) rate per 1k words
morph::abs_count,-0.39559211726858434,0.06840251040360647,155,0.328773356456044,False,0.13636363636363635,False,True,Noun in absolute state (count)
lex::CBJ<J/,0.3936491169150066,0.06989481584638191,156,0.33379255003560593,False,0.13636363636363635,False,True,Lexeme CBJ<J/ (adjective) rate per 1k words
lex::MRDKJ/,0.39196251097060564,0.07121006473055379,157,0.33790763200167245,False,0.13636363636363635,False,True,Lexeme MRDKJ/ (proper-noun) rate per 1k words
lex::JW>B/,0.39196251097060564,0.07121006473055379,158,0.33576897610292766,False,0.13636363636363635,False,True,Lexeme JW>B/ (proper-noun) rate per 1k words
lex::ZR/,-0.39159886109774095,0.07149608135863864,159,0.3349973623407911,False,0.22727272727272727,False,True,Lexeme ZR/ (adjective) rate per 1k words
lex::NVH[,-0.39142451696452196,0.0716335133634805,160,0.3335435465987061,False,0.13636363636363635,False,True,Lexeme NVH[ (verb) rate per 1k words
lex::>XR=/,0.3909865298810834,0.07197965038098561,161,0.33307353747723156,False,0.13636363636363635,False,True,Lexeme >XR=/ (adjective) rate per 1k words
lex::CPV[,-0.3905132016511426,0.07235513585880156,162,0.3327442976222664,False,0.13636363636363635,False,True,Lexeme CPV[ (verb) rate per 1k words
lex::LWJ/,0.38953255499238987,0.07313777457709045,163,0.33428001263762197,False,0.18181818181818182,False,True,Lexeme LWJ/ (adjective) rate per 1k words
lex::HW>,-0.38937566971150667,0.07326357251451857,164,0.33281318002022153,False,0.13636363636363635,False,True,Lexeme HW> (pronoun) rate per 1k words
lex::CLMH=/,0.389122202920094,0.07346715878712592,165,0.33171535331156854,False,0.13636363636363635,False,True,Lexeme CLMH=/ (proper-noun) rate per 1k words
lex::G>L[,-0.38818176806896487,0.07422625234356256,166,0.3331238433491211,False,0.09090909090909091,False,True,Lexeme G>L[ (verb) rate per 1k words
lex::JXF[,0.3881754335699234,0.07423138534023001,167,0.3311519884938404,False,0.13636363636363635,False,True,Lexeme JXF[ (verb) rate per 1k words
lex::JJN/,-0.3876146395669326,0.0746868712313755,168,0.3312007087343735,False,0.13636363636363635,False,True,Lexeme JJN/ (noun) rate per 1k words
lex::GDWL/,0.3871151433271147,0.07509433994226807,169,0.33103717903544205,False,0.09090909090909091,False,True,Lexeme GDWL/ (adjective) rate per 1k words
lex::PC<[,-0.38604097168073953,0.07597627334148702,170,0.3329548449376931,False,0.18181818181818182,False,True,Lexeme PC<[ (verb) rate per 1k words
lex::PNH/,0.38598488013491883,0.07602253962595136,171,0.3312093100662793,False,0.18181818181818182,False,True,Lexeme PNH/ (noun) rate per 1k words
lex::PQD[,-0.3857442453381717,0.07622126422627092,172,0.3301444293521618,False,0.18181818181818182,False,True,Lexeme PQD[ (verb) rate per 1k words
lex::RGZ[,-0.384857994150789,0.0769565318899609,173,0.33140240611572763,False,0.18181818181818182,False,True,Lexeme RGZ[ (verb) rate per 1k words
lex::JCW</,0.38154804811872967,0.07974978558686362,174,0.341457415300077,False,0.13636363636363635,False,True,Lexeme JCW</ (proper-noun) rate per 1k words
lex::>JK,-0.3804197635757387,0.08071909655296652,175,0.34363272532548605,False,0.13636363636363635,False,True,Lexeme >JK (interrogative) rate per 1k words
lex::JYR[,-0.3798122416977554,0.08124465974788678,176,0.3439049517737253,False,0.09090909090909091,False,True,Lexeme JYR[ (verb) rate per 1k words
lex::LBC[,0.37928034635170965,0.08170689808534294,177,0.34390756538746037,False,0.13636363636363635,False,True,Lexeme LBC[ (verb) rate per 1k words
lex::V<M/,0.3787461504534919,0.0821731131747805,178,0.3439267939056824,False,0.045454545454545456,False,True,Lexeme V<M/ (noun) rate per 1k words
lex::MCLM/,0.378707740068218,0.08220671201850967,179,0.342145253931786,False,0.09090909090909091,False,True,Lexeme MCLM/ (proper-noun) rate per 1k words
lex::CM<JH/,0.378707740068218,0.08220671201850967,180,0.3402444469654983,False,0.09090909090909091,False,True,Lexeme CM<JH/ (proper-noun) rate per 1k words
lex::CW<R/,0.378707740068218,0.08220671201850967,181,0.33836464339110334,False,0.09090909090909091,False,True,Lexeme CW<R/ (noun) rate per 1k words
lex::MW>B/,-0.3779464206080786,0.08287478526570609,182,0.3392401924337969,False,0.13636363636363635,False,True,Lexeme MW>B/ (proper-noun) rate per 1k words
lex::JQR/,0.3740520560416757,0.08635578877785323,183,0.3515577193415336,False,0.045454545454545456,False,True,Lexeme JQR/ (adjective) rate per 1k words
lex::BGD[,-0.3724631401365948,0.08780690052973872,184,0.3555225048622573,False,0.13636363636363635,False,True,Lexeme BGD[ (verb) rate per 1k words
lex::JRC[,-0.37239155992261963,0.08787269690712558,185,0.35386572538274896,False,0.18181818181818182,False,True,Lexeme JRC[ (verb) rate per 1k words
vs::nif,-0.3707263270402733,0.08941374604614505,186,0.35813570324934446,False,0.045454545454545456,False,True,Verbal stem nif rate per 1k words
lex::DRJWC/,0.370170887546637,0.08993220103244692,187,0.35828604154637944,False,0.0,False,True,Lexeme DRJWC/ (proper-noun) rate per 1k words
lex::ML>KH/,0.3690460471078187,0.09098897356470155,188,0.3605680069452269,False,0.09090909090909091,False,True,Lexeme ML>KH/ (noun) rate per 1k words
