rho,pair,mae
-3.442435874064962986e-01,3.966101694915254439e-01,2.215530984382310180e+02
-1.794379325854890961e-01,4.440677966101694851e-01,1.849025350482604324e+02
7.893728793996838966e-02,5.254237288135593653e-01,1.740864209238133924e+02
-1.409319384684313559e-01,4.440677966101694851e-01,1.896991415626880553e+02
-1.540239764682309982e-03,5.254237288135593653e-01,1.509934853426785537e+02
-1.686562542327129377e-01,4.847457627118644252e-01,1.804014043884416481e+02
2.687718389370630789e-01,5.966101694915254550e-01,1.543233917892382863e+02
3.708127233472661155e-01,6.983050847457626942e-01,1.562970762361256902e+02
-3.400079280536199011e-01,3.932203389830508655e-01,2.103636223327608832e+02
2.395072834080991808e-01,5.694915254237288282e-01,1.568518943823087000e+02
2.653062994665278951e-01,6.135593220338982912e-01,1.454293815562296288e+02
-5.587219746385079233e-01,3.220338983050847204e-01,2.245507204463780226e+02
6.045441076378066381e-02,5.186440677966102086e-01,1.694176286406890597e+02
1.316904998803375137e-01,5.423728813559322015e-01,1.844670546693226925e+02
-2.818638769368627117e-01,4.101694915254237017e-01,2.109167060061814709e+02
1.205237615863907624e-01,5.898305084745762983e-01,1.496063077222352433e+02
-2.810937570545215744e-02,5.084745762711864181e-01,1.792725970637507373e+02
-6.584524994016875687e-02,4.881355932203390036e-01,1.832316266227404071e+02
-5.005779235217507062e-02,4.881355932203390036e-01,1.732325345331032054e+02
3.773587423471658903e-02,5.288135593220338881e-01,1.491551656636631833e+02
3.303814295243554522e-01,6.338983050847457612e-01,1.392479164102181812e+02
-2.691568988782336858e-01,4.067796610169491789e-01,2.128591239360908389e+02
-1.547940963505721745e-01,4.474576271186440635e-01,2.047714399479444864e+02
6.045441076378066381e-02,5.389830508474576787e-01,1.702514879189736234e+02
3.115134924069971611e-01,6.033898305084746116e-01,1.675529625623195216e+02
-1.132076227041497879e-01,4.644067796610169552e-01,1.788366097008761528e+02
-3.118985523481677680e-01,3.966101694915254439e-01,1.961663306386425347e+02
-1.336157995861903813e-01,4.508474576271186418e-01,1.952548789353190557e+02
